real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,din_2019,din_2020,din_2021,din_2022,NSE,NSE,NSE_without_2012,,,,NSE_outlet_only,NSE_110_base
80,65.8957,112.41,53.5382,47.0709,18.3977,10.875,21.7324,62.7103,11.6815,42.5742,36.3901,15.8053,10.3577,32.1876,0.5773307891037032,0.5444763869402574,0.5892045453252337,,,,0.577330789,0.544476387
81,61.1126,121.424,41.6662,37.1917,18.7106,13.8163,22.8745,59.5107,14.9325,44.0995,34.582,19.5161,12.256,29.3168,0.5789548178702137,0.5370949624649004,0.6062428850988564,,,,0.578954818,0.537094962
82,59.6623,97.5913,49.6424,43.8368,16.4063,9.04056,19.1144,56.4204,10.1578,38.4069,33.4861,13.71,9.28843,29.3253,0.4296980470392242,0.071724658,0.4289491361170015,,,,0.429698047,0.071724658
83,60.8805,110.621,45.8857,41.0339,18.1768,11.9975,21.3132,58.4794,12.908,41.6861,34.8011,17.0362,11.1043,29.5421,0.6403781421629349,0.4916108206374623,0.6452577560821733,,,,0.640378142,0.491610821
84,67.004,118.859,52.7191,46.452,19.3713,11.9182,23.1261,63.6793,13.0785,44.4763,36.8632,17.6893,11.3141,33.0285,0.676803103,0.6437864506159565,0.7357476306077576,,,,0.676803103,0.643786451
85,61.8155,107.058,48.9125,43.4836,17.8371,11.004,20.7197,59.0779,11.7711,40.8715,35.0677,15.6926,10.3914,30.0446,0.5931586233850772,0.5844028267826142,0.5929106947654859,,,,0.593158623,0.584402827
86,63.4424,107.256,51.4578,45.5284,17.9464,10.6409,20.8406,60.3901,11.3262,41.0767,35.6112,15.284,10.1446,30.9077,0.5024271772015179,0.49144676572540835,0.5171505944006342,,,,0.502427177,0.491446766
87,66.0749,119.056,50.752,44.8181,19.2567,12.2924,22.9597,63.1896,13.2279,44.2217,36.6131,17.8276,11.3741,32.2004,0.663195768,0.6517992365306247,0.6718947136197534,,,,0.663195768,0.651799237
88,68.718,112.245,58.1209,51.1007,19.0126,10.5566,21.8926,65.1403,11.0132,42.8849,37.9917,15.0858,10.0607,33.6182,0.6302479044440024,0.6316949599141708,0.6716609743806224,,,,0.630247904,0.63169496
89,66.8032,116.874,52.933,46.5425,19.02,11.5882,22.6641,63.5539,12.5134,43.7849,36.694,17.0313,10.9274,32.7051,0.7375995464972211,0.7111213944311288,0.740770588,,,,0.737599546,0.711121394
90,67.2478,114.461,54.991,48.2555,18.8335,10.8102,22.3734,63.5507,11.94,43.4018,36.7384,16.339,10.5895,33.2126,0.5361077024998764,0.43537974634219245,0.5752569052214023,,,,0.536107702,0.435379746
91,43.4217,71.2567,34.0534,31.4949,13.084,7.71814,14.3745,40.987,9.29825,30.6165,27.1314,11.8994,8.60102,21.4215,0.06590703,0.2131433032869544,0.19668521880204226,,,,0.06590703,0.213143303
92,50.1943,93.5166,35.6531,32.348,15.1206,10.4517,17.9152,48.4403,11.8576,36.3198,29.7286,15.2737,10.1588,24.2043,0.4025863110713296,0.46970332614732946,0.4116737778947731,,,,0.402586311,0.469703326
93,58.462,107.077,43.3619,38.8036,17.3919,11.6803,20.5167,56.3591,12.6308,40.4547,33.5836,16.5813,10.8299,28.2292,0.46609968628496645,0.4694007586205581,0.47035622613401795,,,,0.466099686,0.469400759
94,59.3659,114.58,41.7034,37.2503,18.0699,12.7329,21.9195,57.3047,14.0715,42.4235,33.6346,18.5347,11.7332,28.8131,0.5924667206107872,0.2757604778788767,0.6961570944074793,,,,0.592466721,0.275760478
95,56.6211,95.6884,45.2649,40.6456,16.4884,9.92263,18.7602,53.8531,10.8672,37.7212,32.9375,14.3585,9.78756,27.6498,0.2875134542809039,0.32455458671520665,0.37451979215442477,,,,0.287513454,0.324554587
96,64.9024,107.775,53.8074,47.5007,18.1853,10.3338,21.07,61.4667,11.1224,41.4682,36.1802,15.1089,10.0642,31.8279,0.5596643409840855,0.5592848136349876,0.5670899200863664,,,,0.559664341,0.559284814
97,60.8064,112.049,45.0873,40.3332,18.3327,12.2445,21.6287,58.3934,13.2836,42.0497,34.6713,17.5816,11.3479,29.5665,0.4467054941100629,0.4427541183727407,0.4476650348043515,,,,0.446705494,0.442754118
98,59.6402,110.051,43.9556,39.0801,17.5517,11.7125,21.1011,57.2783,12.8704,41.2632,33.6332,17.0994,10.9782,28.8895,0.5676941872041281,0.5478205555915288,0.662808756,,,,0.567694187,0.547820556
99,65.9175,112.461,53.3649,46.9617,18.6104,10.9311,21.9188,62.5766,11.8169,42.6533,36.3851,16.1146,10.4874,32.3275,0.5783844306657036,0.5055943986713605,0.5907982778863781,,,,0.578384431,0.505594399
