,Q (m3/s),Mod_load(t),Obs_load(t)
2010/1/24,0.979215794,3.813537831,9.96110
2010/1/25,125.9613924,1371.292014,2794.64380
2010/1/26,305.5930179,2757.012654,2022.50340
2010/1/27,96.47856989,769.3661075,435.42170
2010/1/28,42.32922465,359.5413624,59.36330
2010/1/29,19.3891399,130.8467942,16.32050
2010/1/30,10.58820754,56.57178565,149.88030
2010/1/31,540.131394,6121.681706,5491.00530
2010/2/1,104.5328624,915.0845863,857.99930
2010/2/2,67.60292906,589.5190923,82.97640
2010/2/3,24.5350823,161.6601707,39.03750
2010/2/4,13.1821736,68.11640272,28.71900
2010/2/5,8.790993937,57.98503324,75.81150
2010/2/6,7.873173695,48.57264634,199.96150
2010/2/7,11.540416,78.72450409,154.14180
2010/2/8,10.08072197,45.0841933,64.64540
2010/2/9,7.991028371,33.90370689,353.13290
2010/2/10,166.1537596,1382.32114,1442.16030
2010/2/11,68.42512654,450.9574906,325.30440
2010/2/12,86.37208326,609.5281503,408.56070
2010/2/13,39.55460218,231.9195228,131.80010
2010/2/14,43.87332326,264.238216,191.53590
2010/2/15,29.68777305,155.6169271,144.34580
2010/2/16,24.06540025,113.4710009,289.50410
2010/2/17,47.0027209,309.1132128,426.40710
2010/2/18,256.6869707,2264.598809,1609.55110
2010/2/19,63.84461059,452.3660215,372.59440
2010/2/20,45.96455165,341.4574263,117.73990
2010/2/21,112.8843566,849.0593863,1056.36250
2010/2/22,182.223078,1427.077383,572.76660
2010/2/23,54.00824568,364.7314583,166.58580
2010/2/24,33.72918767,223.5685955,76.81510
2010/2/25,19.20269823,105.0353397,110.37340
2010/2/26,44.19493225,308.7852202,362.22910
2010/2/27,79.32809381,507.7543723,283.97620
2010/2/28,101.2858223,672.7828557,436.06610
2010/3/1,236.052247,1919.928451,738.01760
2010/3/2,61.42733838,430.7430397,246.52240
2010/3/3,40.98184466,307.8679522,91.56620
2010/3/4,20.66336388,121.0593665,47.54400
2010/3/5,13.47431781,66.45770871,28.82900
2010/3/6,9.742128239,44.12250422,21.38070
2010/3/7,7.527463831,32.67106305,17.82050
2010/3/8,6.117619149,25.99156202,16.96680
2010/3/9,5.461081206,25.04222305,45.95760
2010/3/10,4.754717237,20.20438259,23.35310
2010/3/11,4.354432585,18.15532229,23.82250
2010/3/12,4.127781509,17.46636947,23.21430
2010/3/13,3.861045543,15.97949155,19.09590
2010/3/14,3.702375288,15.23234654,17.70730
2010/3/15,3.530875247,14.50060859,16.07230
2010/3/16,3.292476478,13.57587755,13.93940
2010/3/17,3.130913234,12.91124251,12.16030
2010/3/18,3.03580042,12.47857937,10.69960
2010/3/19,2.91544384,11.97342709,9.60280
2010/3/20,2.820744436,11.5603174,8.91050
2010/3/21,327.8401672,3092.782701,1237.14470
2010/3/22,123.8248325,928.2179524,1028.90470
2010/3/23,131.8731117,981.4945929,583.29420
2010/3/24,46.10212161,291.8196207,144.60860
2010/3/25,27.70667921,164.3303871,37.51470
2010/3/26,15.65027405,78.90535094,25.32500
2010/3/27,10.00644873,45.33451118,15.64660
2010/3/28,6.998912427,29.86103482,10.65630
2010/3/29,5.319170931,21.88618979,9.36680
2010/3/30,4.338835192,17.50275354,8.06430
2010/3/31,3.547200061,14.28491533,6.30480
2010/4/1,3.072483939,12.52046557,5.44520
2010/4/2,2.766452999,11.30020666,4.82340
2010/4/3,2.572205362,10.46922025,4.26440
2010/4/4,2.419067691,9.809732512,4.03490
2010/4/5,2.502153729,11.70392378,4.50750
2010/4/6,2.278283725,9.831154144,3.88230
2010/4/7,2.164159377,8.909330013,3.27400
2010/4/8,2.068267431,8.356804947,2.78530
2010/4/9,1.994774686,7.990907042,2.43700
2010/4/10,1.930858261,7.698268832,2.13170
2010/4/11,1.871633451,7.437869314,1.86510
2010/4/12,1.815325131,7.194978088,1.65390
2010/4/13,2.072296159,16.82434742,1.56270
2010/4/14,1.810109661,10.96522453,1.87420
2010/4/15,1.781785367,8.325967785,1.41360
2010/4/16,1.662386625,6.962431187,1.19800
2010/4/17,1.588510681,6.365244222,0.98610
2010/4/18,1.672309528,6.529251107,0.95190
2010/4/19,1.525211961,5.976646364,0.88190
2010/4/20,1.485754771,5.796711721,0.85930
2010/4/21,1.416296933,5.515514988,0.69510
2010/4/22,1.360579596,5.282398506,0.55480
2010/4/23,1.372780176,5.307901678,0.47400
2010/4/24,1.297569827,5.030743096,0.44980
2010/4/25,1.2565477,4.858882788,0.35760
2010/4/26,1.221040257,4.709192416,0.27710
2010/4/27,1.168598271,4.498816171,0.20990
