"","flow","conc"
"167",0.2064,0.00402608695652174
"168",0.2049,0.00404130434782609
"169",0.2038,0.00405652173913043
"170",0.203,0.00407173913043478
"171",0.2023,0.00408695652173913
"172",0.2016,0.00410217391304348
"173",0.2006,0.00411739130434783
"174",0.1995,0.00413260869565217
"175",0.1984,0.00414782608695652
"176",0.1973,0.00416304347826087
"177",0.1963,0.00417826086956522
"178",0.1952,0.00419347826086957
"179",0.1941,0.00420869565217391
"180",0.193,0.00422391304347826
"181",0.1919,0.00423913043478261
"182",0.1908,0.00425434782608696
"183",0.1898,0.0042695652173913
"184",0.1887,0.00428478260869565
"185",0.1876,0.0043
"186",0.1866,0.00431521739130435
"187",0.1855,0.0043304347826087
"188",0.1844,0.00434565217391304
"189",0.1839,0.00436086956521739
"190",0.1839,0.00437608695652174
