,date,Loads (kg),Concentration (mg/L),Flow (ML),Q (m3/s),Load (t),water_year,normalized_flow,normalized_DIN_load,cum_flow,cum_din_load
448,2010-09-22,169.37,0.314937057,537.79,6.2245,0.16937,2010,0.0008578188746833086,0.0017025885354105528,0.011522707676302693,0.03332629126952799
449,2010-09-23,121.87,0.324856724,375.15,4.342,0.12187,2010,0.000598385340810495,0.0012250957360245857,0.012121093017113189,0.034551387005552575
450,2010-09-24,108.56,0.333979388,325.05,3.7621,0.10856,2010,0.0005184674091808298,0.0010912972273966442,0.012639560426294019,0.03564268423294922
451,2010-09-25,105.28,0.343704091,306.31,3.5453,0.10528,2010,0.0004885894861297669,0.0010583250930390447,0.013128149912423785,0.036701009325988264
452,2010-09-26,239.07,0.352777122,677.68,7.8435,0.23907,2010,0.0010809386044788385,0.0024032463905095404,0.014209088516902623,0.03910425571649781
453,2010-09-27,157.88,0.361331075,436.94,5.0572,0.15788,2010,0.0006969494116874333,0.001587085540359084,0.014906037928590056,0.04069134125685689
454,2010-09-28,75.59,0.370684582,203.92,2.3602,0.07559,2010,0.00032526694642582454,0.0007598669622228476,0.015231304875015882,0.04145120821907974
455,2010-09-29,363.04,0.383167805,947.47,10.9661,0.36304,2010,0.0015112744094569251,0.0036494523345069795,0.016742579284472807,0.04510066055358672
456,2010-09-30,730.2,0.365688759,1996.78,23.1109,0.7302,2010,0.0031849893535092744,0.0073403208865607,0.01992756863798208,0.052440981440147416
457,2010-10-01,205.77,0.32062389,641.78,7.428,0.20577,2010,0.0010236771790742415,0.00206849880694001,0.020951245817056322,0.054509480247087426
458,2010-10-02,104.87,0.343408213,305.38,3.5345,0.10487,2010,0.00048710110250914195,0.0010542035762443449,0.021438346919565466,0.05556368382333177
459,2010-10-03,60.92,0.366833263,166.07,1.9221,0.06092,2010,0.0002648909404817716,0.0006123970808124868,0.021703237860047235,0.05617608090414426
460,2010-10-04,40.928,0.389790476,105.0,1.2153,0.040928,2010,0.00016748450130976383,0.00041142790091092346,0.021870722361357,0.056587508805055184
461,2010-10-05,30.982,0.413313767,74.96,0.8676,0.030982,2010,0.0001195668175235342,0.0003114459349594955,0.021990289178880535,0.056898954740014676
462,2010-10-06,25.736,0.435612729,59.08,0.6838,0.025736,2010,9.423673331326956e-05,0.00025871062494731053,0.022084525912193804,0.05715766536496199
463,2010-10-07,21.726,0.458838437,47.35,0.548,0.021726,2010,7.552168741689342e-05,0.00021840018019914784,0.022160047599610697,0.057376065545161135
464,2010-10-08,20.182,0.481900669,41.88,0.4847,0.020182,2010,6.6798105640453e-05,0.00020287915109910715,0.02222684570525115,0.057578944696260244
