Data Source,Region,Basin,Catchment,Site Code,Site Name,Latitude,Longitude,Datum,Sample Reference,Sampling Year,Datetime,Collection Method,Sampling Depth (m),Laboratory,Analysis Method,Analyte Group,Analyte,Operator,NH4,Unit,Quality Code,Comment,Project Name,Project Description,NOX,DIN,CrossSectional,SampleProcessing
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229109,2009-2010,28/06/2010 11:50,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.028,Milligrams/Litre,125,NA,NA,NA,1.81,1.838,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229120,2010-2011,23/07/2010 13:30,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,<,0.002,Milligrams/Litre,125,NA,NA,NA,1.85,1.852,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229135,2010-2011,24/08/2010 10:15,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.031,Milligrams/Litre,125,NA,NA,NA,0.014,0.045,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231918,2010-2011,30/09/2010 11:45,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.089,Milligrams/Litre,125,NA,NA,NA,0.301,0.39,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231920,2010-2011,30/09/2010 16:25,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.08,Milligrams/Litre,125,NA,NA,NA,0.224,0.304,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229151,2010-2011,26/10/2010 9:55,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.043,Milligrams/Litre,125,NA,NA,NA,0.849,0.892,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229152,2010-2011,11/11/2010 8:10,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.049,Milligrams/Litre,125,NA,NA,NA,0.475,0.524,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229179,2010-2011,16/11/2010 8:20,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.165,Milligrams/Litre,125,NA,NA,NA,0.93,1.095,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229181,2010-2011,16/11/2010 15:40,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.172,Milligrams/Litre,125,NA,NA,NA,1.02,1.192,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229182,2010-2011,17/11/2010 8:25,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.094,Milligrams/Litre,125,NA,NA,NA,0.639,0.733,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229183,2010-2011,18/11/2010 15:00,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.062,Milligrams/Litre,125,NA,NA,NA,0.439,0.501,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229184,2010-2011,19/11/2010 8:20,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.063,Milligrams/Litre,125,NA,NA,NA,0.531,0.594,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229186,2010-2011,19/11/2010 15:00,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.073,Milligrams/Litre,125,NA,NA,NA,0.445,0.518,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229187,2010-2011,20/11/2010 9:30,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.073,Milligrams/Litre,125,NA,NA,NA,0.366,0.439,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229188,2010-2011,20/11/2010 17:55,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.076,Milligrams/Litre,125,NA,NA,NA,0.338,0.414,High flow,Optimal
